X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Defect_Type
398,632,2914,3717,28859,254,934,2017534,41,223,1325,1,0,32,0.45678533021423745,0.07419647516531681,0.21858269440841327,0.02921801776606565,0.2620083196321286,0.2575214399411237,0.17382446980305022,10.270211832327862,5.459585514144159,6.6895992691789665,-0.3057212760365034,1.0,0.5671449087538192,Other_Faults
144,532,3928,3965,21653,350,39,1915395,55,215,1100,0,1,61,0.1666152024265157,0.07572386156550444,0.08487895254377037,0.1559321845668053,0.23480127057251454,0.34010917805891333,0.12926625709854178,9.982945473870844,5.963579343618446,3.6375861597263857,-0.1817187911499427,1.0,0.4957364718069124,Other_Faults
0,322,575,1470,17920,279,729,782401,36,226,1003,0,1,80,0.6455448330890091,0.20622902627940498,0.43210808883708446,0.16744207487815885,0.315962335800885,0.061965718078705365,0.29600789410714845,9.793728488543389,5.777652323222656,6.79794041297493,0.10351305918621104,1.0,0.4486141897474202,Pastry
281,575,1058,1265,10376,256,172,942960,11,199,1492,1,0,71,0.4709013890431897,0.3537714030820078,0.22736992781692955,0.15467880857377506,0.2955386321027681,0.28340249014113655,0.04189537642689387,9.247347097605278,5.68697535633982,5.337538079701318,0.23576046754640043,1.0,0.3202435216563505,Bumps
374,391,2033,3407,8621,14,1468,1044960,4,226,992,0,1,84,0.4794873110231607,0.056130596801721784,0.12207364521118713,0.24926315740251162,0.44584353438201474,0.31898177758332696,0.033932945722971904,9.06207235530708,2.8903717578961645,7.226209010100671,0.28540861329508604,1.0,0.2813191387041949,Bumps
141,203,1327,2429,12507,63,1035,977046,62,252,960,0,1,68,0.4107050345522171,0.08818837111801242,0.3252558238958579,0.22955725936673538,0.47026993235228476,0.20336032124419567,0.2704126948765333,9.434123718577732,4.143134726391533,7.005789019253503,-0.052303934739698604,1.0,0.36218889483679084,Bumps
364,704,3712,5089,17814,312,1459,1782328,14,244,875,1,0,95,0.2729557977522509,0.18599533544462105,0.22434681131126533,0.07126323926229823,0.24930071665173603,0.12954436954210302,0.02195877713053309,9.787796078039936,5.831882477283517,7.228388451573604,0.3926045480409107,1.0,0.4471472031614398,Other_Faults
329,603,1026,1120,32573,313,94,1772877,25,204,811,0,1,64,0.5168077034374401,0.23676089135440748,0.3039525463967223,0.22946497846263847,0.4251942954864374,0.30134307667927307,0.2866571087864804,10.391269703133506,5.616771097666572,4.553876891600541,-0.4972209621678811,1.0,0.596588317074362,Stains
202,262,3854,4187,7393,70,313,658812,33,247,1172,1,0,82,0.6810265777994788,0.23629107466866406,0.29046602663139887,0.026887901746482635,0.38705431436345183,0.18996682238145468,0.2930175715987737,8.908424139496578,4.110873864173311,5.811140992976701,-0.4725697617323011,1.0,0.2513216497512146,K_Scratch
262,622,3179,4798,27886,403,1414,1855852,60,221,835,1,0,62,0.6096122054590558,0.24257928975469162,0.021706266427409582,0.1899454126782067,0.4805613368826628,0.26056413705121595,0.24575665782803705,10.235915909400319,5.8888779583328805,7.3901814282264295,-0.12254325004300504,1.0,0.558706945228827,Other_Faults
